马太福音1:1	　亚伯拉罕的后裔，大卫的子孙，耶稣基督的家谱：
马太福音14:22	　耶稣随即催门徒上船，先渡到那边去，等他叫众人散开。
马太福音14:23	　散了众人以后，他就独自上山去祷告。到了晚上，只有他一人在那里。
马太福音14:24	　那时船在海中，因风不顺，被浪摇撼。
马太福音14:25	　夜里四更天，耶稣在海面上走，往门徒那里去。
马太福音14:26	　门徒看见他在海面上走，就惊慌了，说：是个鬼怪！便害怕，喊叫起来。
马太福音14:27	　耶稣连忙对他们说：你们放心，是我，不要怕！
马太福音14:28	　彼得说：主，如果是你，请叫我从水面上走到你那里去。
马太福音14:29	　耶稣说：你来吧。彼得就从船上下去，在水面上走，要到耶稣那里去；
马太福音14:30	　只因见风甚大，就害怕，将要沉下去，便喊着说：主啊，救我！
马太福音14:31	　耶稣赶紧伸手拉住他，说：你这小信的人哪，为什么疑惑呢？
马太福音14:32	　他们上了船，风就住了。
马太福音14:33	　在船上的人都拜他，说：你真是神的儿子了。
马太福音14:34	　他们过了海，来到革尼撒勒地方。
马太福音14:35	　那里的人一认出是耶稣，就打发人到周围地方去，把所有的病人带到他那里，
马太福音14:36	　只求耶稣准他们摸他的衣裳繸子；摸着的人就都好了。
马太福音15:1	　那时，有法利赛人和文士从耶路撒冷来见耶稣，说：
马太福音15:2	　你的门徒为什么犯古人的传统呢？因为吃饭的时候，他们不洗手。
马太福音15:3	　耶稣回答说：你们为什么因着你们的传统犯神的诫命呢？
马太福音15:4	　神说：当孝敬父母。又说：咒骂父母的，必治死他。
马太福音15:5	　你们倒说：无论何人对父母说，我所当奉给你的，已经作了供献；
马太福音15:6	　他就可以不孝敬父母。这就是你们借着传统，废了神的诫命。
马太福音15:7	　假冒为善的人哪，以赛亚指着你们说的预言是不错的。他说：
马太福音15:8	　这百姓用嘴唇尊敬我，心却远离我；
马太福音15:9	　他们将人的吩咐当作道理教导人，所以拜我也是枉然。
马太福音15:10	　耶稣就叫了众人来，对他们说：你们要听，也要明白。
马太福音15:11	　入口的不能污秽人，出口的乃能污秽人。
马太福音15:12	　当时，门徒进前来对他说：法利赛人听见这话不服，你知道吗？
马太福音15:13	　耶稣回答说：凡栽种的物，若不是我天父栽种的，必要拔出来。
马太福音15:14	　任凭他们吧！他们是瞎眼领路的；若是瞎子领瞎子，两个人都要掉在坑里。
马太福音15:15	　彼得对耶稣说：请将这比喻讲给我们听。
马太福音15:16	　耶稣说：你们到如今还不明白吗？
马太福音15:17	　岂不知凡入口的，是运到肚子里，又落在茅厕里吗？
马太福音15:18	　唯独出口的，是从心里发出来的，这才污秽人。
马太福音15:19	　因为从心里发出来的，有恶念、凶杀、奸淫、苟合、偷盗、妄证、谤讟。
马太福音15:20	　这都是污秽人的；至于不洗手吃饭，那却不污秽人。
马太福音15:21	　耶稣离开那里，退到泰尔、西顿的境内去。
马太福音15:22	　有一个迦南妇人从那地方出来，喊着说：主啊，大卫的子孙，可怜我！我女儿被鬼附得甚苦。
马太福音15:23	　耶稣却一言不答。门徒进前来，求他说：这妇人在我们后头喊叫，请打发她走吧。
马太福音15:24	　耶稣说：我奉差遣不过是到以色列家迷失的羊那里去。
马太福音15:25	　那妇人来拜他，说：主啊，帮助我！
马太福音15:26	　他回答说：不好拿儿女的饼丢给狗吃。
马太福音15:27	　妇人说：主啊，不错；但是狗也吃它主人桌子上掉下来的碎渣儿。
马太福音15:28	　耶稣说：妇人，你的信心是大的！照你所要的，给你成全了吧。从那时候，她女儿就好了。
马太福音15:29	　耶稣离开那地方，来到靠近加利利的海边，就上山坐下。
马太福音15:30	　有许多人到他那里，带着瘸子、瞎子、哑巴、有残疾的，和好些别的病人，都放在他脚前；他就治好了他们。
马太福音15:31	　甚至众人都希奇；因为看见哑巴说话，残疾的痊愈，瘸子行走，瞎子看见，他们就归荣耀给以色列的神。
马太福音15:32	　耶稣叫门徒来，说：我怜悯这众人；因为他们同我在这里已经三天，也没有吃的了。我不愿意叫他们饿着回去，恐怕在路上困乏。
马太福音15:33	　门徒说：我们在这野地，哪里有这么多的饼，叫这许多人吃饱呢？
马太福音15:34	　耶稣说：你们有多少饼？他们说：有七个，还有几条小鱼。
马太福音15:35	　他就吩咐众人坐在地上，
马太福音15:36	　拿着这七个饼和几条鱼，祝谢了，擘开，递给门徒；门徒又递给众人。
马太福音15:37	　众人都吃，并且吃饱了，收拾剩下的零碎，装满了七个筐子。
马太福音15:38	　吃的人，除了妇女孩子，共有四千。
马太福音15:39	　耶稣叫众人散去，就上船，来到马加丹的境界。
马太福音16:1	　法利赛人和撒都该人来试探耶稣，请他从天上显个神迹给他们看。
马太福音16:2	　耶稣回答说：晚上天发红，你们就说：天必要晴。
马太福音16:3	　早晨天发红，又发黑，你们就说：今日必有风雨。你们知道分辨天上的气色，倒不能分辨这时候的神迹。
马太福音16:4	　一个邪恶淫乱的世代求神迹，除了约拿的神迹以外，再没有神迹给他看。耶稣就离开他们去了。
马太福音16:5	　门徒渡到那边去，忘了带饼。
马太福音16:6	　耶稣对他们说：你们要谨慎，防备法利赛人和撒都该人的酵。
马太福音16:7	　门徒彼此议论说：这是因为我们没有带饼吧。
马太福音16:8	　耶稣看出来，就说：你们这小信的人，为什么因为没有饼彼此议论呢？
马太福音16:9	　你们还不明白吗？不记得那五个饼分给五千人，又收拾了多少篮子的零碎吗？
马太福音16:10	　也不记得那七个饼分给四千人，又收拾了多少筐子的零碎吗？
马太福音16:11	　我对你们说：要防备法利赛人和撒都该人的酵。这话不是指着饼说的，你们怎么不明白呢？
马太福音16:12	　门徒这才晓得他说的不是叫他们防备饼的酵，乃是防备法利赛人和撒都该人的教训。
马太福音16:13	　耶稣到了凯撒利亚·腓立比的境内，就问门徒说：人说我，人子，是谁？
马太福音16:14	　他们说：有人说是施洗的约翰；有人说是以利亚；又有人说是耶利米或是先知里的一位。
马太福音16:15	　耶稣说：你们说我是谁？
马太福音16:16	　西门·彼得回答说：你是基督，是永生神的儿子。
马太福音16:17	　耶稣对他说：西门·巴·约拿，你是有福的！因为这不是属血肉的指示你的，乃是我在天上的父指示的。
马太福音16:18	　我还告诉你，你是彼得，我要把我的教会建造在这磐石上，阴间的权柄不能胜过它。
马太福音16:19	　我要把天国的钥匙给你，凡你在地上所捆绑的，在天上也要捆绑；凡你在地上所释放的，在天上也要释放。
马太福音16:20	　当下，耶稣嘱咐门徒，不可对人说他是基督。
马太福音16:21	　从此，耶稣才指示门徒，他必须上耶路撒冷去，受长老、祭司长、文士许多的苦，并且被杀，第三日复活。
马太福音16:22	　彼得就拉着他，劝他说：主啊，万不可如此！这事必不临到你身上。
马太福音16:23	　耶稣转过来，对彼得说：撒但，退我后边去吧！你是绊我脚的；因为你不体贴神的意思，只体贴人的意思。
马太福音16:24	　于是耶稣对门徒说：若有人要跟从我，就当舍己，背起他的十字架来跟从我。
马太福音16:25	　因为凡要救自己生命的，必丧掉生命；凡为我丧掉生命的，必得着生命。
马太福音16:26	　人若赚得全世界，赔上自己的生命，有什么益处呢？人还能拿什么换生命呢？
马太福音16:27	　人子要在他父的荣耀里，同着众使者降临；那时候，他要照各人的行为报应各人。
马太福音16:28	　我实在告诉你们，站在这里的，有人在没尝死味以前，必看见人子降临在他的国里。
马太福音17:1	　过了六天，耶稣带着彼得、雅各，和雅各的兄弟约翰，暗暗地上了高山，
马太福音17:2	　就在他们面前变了形像，脸面明亮如日头，衣裳洁白如光。
马太福音17:3	　忽然，有摩西、以利亚向他们显现，同耶稣说话。
马太福音17:4	　彼得对耶稣说：主啊，我们在这里真好！你若愿意，我就在这里搭三座棚，一座为你，一座为摩西，一座为以利亚。
马太福音17:5	　说话之间，忽然有一朵光明的云彩遮盖他们，且有声音从云彩里出来，说：这是我的爱子，我所喜悦的，你们要听他！
马太福音17:6	　门徒听见，就俯伏在地，极其害怕。
马太福音17:7	　耶稣进前来，摸他们，说：起来，不要害怕！
马太福音17:8	　他们举目不见一人，只见耶稣在那里。
马太福音17:9	　下山的时候，耶稣吩咐他们说：人子还没有从死里复活，你们不要将所看见的告诉人。
马太福音17:10	　门徒问耶稣说：文士为什么说，以利亚必须先来？
马太福音17:11	　耶稣回答说：以利亚固然先来，并要复兴万事；
马太福音17:12	　只是我告诉你们，以利亚已经来了，人却不认识他，竟任意待他。人子也将要这样受他们的害。
马太福音17:13	　门徒这才明白耶稣所说的是指着施洗的约翰。
马太福音17:14	　耶稣和门徒到了众人那里，有一个人来见耶稣，跪下，说：
马太福音17:15	　主啊，怜悯我的儿子！他害癫痫的病很苦，屡次跌在火里，屡次跌在水里。
马太福音17:16	　我带他到你门徒那里，他们却不能医治他。
马太福音17:17	　耶稣说：唉！这又不信又悖谬的世代啊，我在你们这里要到几时呢？我忍耐你们要到几时呢？把他带到我这里来吧！
马太福音17:18	　耶稣斥责那鬼，鬼就出来；从此孩子就痊愈了。
马太福音17:19	　门徒暗暗地到耶稣跟前，说：我们为什么不能赶出那鬼呢？
马太福音17:20	　耶稣说：是因你们的信心小。我实在告诉你们，你们若有信心像一粒芥菜种，就是对这座山说，你从这边挪到那边，它也必挪去；并且你们没有一件不能做的事了。
马太福音17:21	　至于这一类的鬼，若不祷告、禁食，他就不出来。
马太福音17:22	　他们还住在加利利的时候，耶稣对门徒说：人子将要被交在人手里，
马太福音17:23	　他们要杀害他，第三日他要复活。门徒就大大地忧愁。
马太福音17:24	　到了迦百农，有收丁税的人来见彼得，说：你们的先生不纳丁税吗？
马太福音17:25	　彼得说：纳。他进了屋子，耶稣先向他说：西门，你的意思如何？世上的君王向谁征收关税、丁税？是向自己的儿子呢？是向外人呢？
马太福音17:26	　彼得说：是向外人。耶稣说：既然如此，儿子就可以免税了。
马太福音17:27	　但恐怕触犯他们，你且往海边去钓鱼，把先钓上来的鱼拿起来，开了它的口，必得一块钱，可以拿去给他们，作你我的税银。
马太福音18:1	　当时，门徒进前来，问耶稣说：天国里谁是最大的？
马太福音18:2	　耶稣便叫一个小孩子来，使他站在他们当中，
马太福音18:3	　说：我实在告诉你们，你们若不回转，变成小孩子的样式，断不得进天国。
马太福音18:4	　所以，凡自己谦卑像这小孩子的，他在天国里就是最大的。
马太福音18:5	　凡为我的名接待一个像这小孩子的，就是接待我。
马太福音18:6	　凡使这信我的一个小子跌倒的，倒不如把大磨石拴在这人的颈项上，沉在深海里。
马太福音18:7	　这世界有祸了，因为将人绊倒；绊倒人的事是免不了的，但那绊倒人的有祸了！
马太福音18:8	　倘若你一只手或是一只脚叫你跌倒，就砍下来丢掉；你缺一只手或是一只脚进入永生，强如有两手两脚被丢在永火里。
马太福音18:9	　倘若你一只眼叫你跌倒，就把它剜出来丢掉；你只有一只眼进入永生，强如有两只眼被丢在地狱的火里。
马太福音18:10	-11　你们要小心，不可轻看这小子里的一个；我告诉你们，他们的使者在天上，常见我天父的面。
马太福音18:12	　一个人若有一百只羊，一只走迷了路，你们的意思如何？他岂不撇下这九十九只，往山里去找那只迷路的羊吗？
马太福音18:13	　若是找着了，我实在告诉你们，他为这一只羊欢喜，比为那没有迷路的九十九只欢喜还大呢！
马太福音18:14	　你们在天上的父也是这样，不愿意这小子里失丧一个。
马太福音18:15	　倘若你的弟兄得罪你，你就去趁着只有他和你在一处的时候，指出他的错来。他若听你，你便得了你的弟兄；
马太福音18:16	　他若不听，你就另外带一两个人同去，要凭两三个人的口作见证，句句都可定准。
马太福音18:17	　若是不听他们，就告诉教会；若是不听教会，就看他像外邦人和税吏一样。
马太福音18:18	　我实在告诉你们，凡你们在地上所捆绑的，在天上也要捆绑；凡你们在地上所释放的，在天上也要释放。
马太福音18:19	　我又告诉你们，若是你们中间有两个人在地上同心合意地求什么事，我在天上的父必为他们成全。
马太福音18:20	　因为无论在哪里，有两三个人奉我的名聚会，那里就有我在他们中间。
马太福音18:21	　那时，彼得进前来对耶稣说：主啊，我弟兄得罪我，我当饶恕他几次呢？到七次可以吗？
马太福音18:22	　耶稣说：我对你说，不是到七次，乃是到七十个七次。
马太福音18:23	　天国好像一个王要和他仆人算帐。
马太福音18:24	　才算的时候，有人带了一个欠一千万银子的来。
马太福音18:25	　因为他没有什么偿还之物，主人吩咐把他和他妻子儿女，并一切所有的都卖了偿还。
马太福音18:26	　那仆人就俯伏拜他，说：主啊，宽容我，将来我都要还清。
马太福音18:27	　那仆人的主人就动了慈心，把他释放了，并且免了他的债。
马太福音18:28	　那仆人出来，遇见他的一个同伴欠他十两银子，便揪着他，掐住他的喉咙，说：你把所欠的还我！
马太福音18:29	　他的同伴就俯伏央求他，说：宽容我吧，将来我必还清。
马太福音18:30	　他不肯，竟去把他下在监里，等他还了所欠的债。
马太福音18:31	　众同伴看见他所做的事就甚忧愁，去把这事都告诉了主人。
马太福音18:32	　于是主人叫了他来，对他说：你这恶奴才！你央求我，我就把你所欠的都免了，
马太福音18:33	　你不应当怜恤你的同伴，像我怜恤你吗？
马太福音18:34	　主人就大怒，把他交给掌刑的，等他还清了所欠的债。
马太福音18:35	　你们各人若不从心里饶恕你的弟兄，我天父也要这样待你们了。
马太福音19:1	　耶稣说完了这些话，就离开加利利，来到犹太的境界约旦河外。
马太福音19:2	　有许多人跟着他，他就在那里把他们的病人治好了。
马太福音19:3	　有法利赛人来试探耶稣，说：人无论什么缘故都可以休妻吗？
马太福音19:4	　耶稣回答说：那起初造人的，是造男造女，
马太福音19:5	　并且说：因此，人要离开父母，与妻子连合，二人成为一体。这经你们没有念过吗？
马太福音19:6	　既然如此，夫妻不再是两个人，乃是一体的了。所以，神配合的，人不可分开。
马太福音19:7	　法利赛人说：这样，摩西为什么吩咐给妻子休书，就可以休她呢？
马太福音19:8	　耶稣说：摩西因为你们的心硬，所以许你们休妻，但起初并不是这样。
马太福音19:9	　我告诉你们，凡休妻另娶的，若不是为淫乱的缘故，就是犯奸淫了；有人娶那被休的妇人，也是犯奸淫了。
马太福音19:10	　门徒对耶稣说：人和妻子既是这样，倒不如不娶。
马太福音19:11	　耶稣说：这话不是人都能领受的，唯独赐给谁，谁才能领受。
马太福音19:12	　因为有生来是阉人，也有被人阉的，并有为天国的缘故自阉的。这话谁能领受，就可以领受。
马太福音19:13	　那时，有人带着小孩子来见耶稣，要耶稣给他们按手祷告，门徒就责备那些人。
马太福音19:14	　耶稣说：让小孩子到我这里来，不要禁止他们；因为在天国的，正是这样的人。
马太福音19:15	　耶稣给他们按手，就离开那地方去了。
马太福音19:16	　有一个人来见耶稣，说：夫子，我该做什么善事才能得永生？
马太福音19:17	　耶稣对他说：你为什么以善事问我呢？只有一位是善的。你若要进入永生，就当遵守诫命。
马太福音19:18	　他说：什么诫命？耶稣说：就是不可杀人；不可奸淫；不可偷盗；不可作假见证；
马太福音19:19	　当孝敬父母；又当爱人如己。
马太福音19:20	　那少年人说：这一切我都遵守了，还缺少什么呢？
马太福音19:21	　耶稣说：你若愿意作完全人，可去变卖你所有的，分给穷人，就必有财宝在天上；你还要来跟从我。
马太福音19:22	　那少年人听见这话，就忧忧愁愁地走了，因为他的产业很多。
马太福音19:23	　耶稣对门徒说：我实在告诉你们，财主进天国是难的。
马太福音19:24	　我又告诉你们，骆驼穿过针的眼，比财主进神的国还容易呢！
马太福音19:25	　门徒听见这话，就希奇得很，说：这样谁能得救呢？
马太福音19:26	　耶稣看着他们，说：在人这是不能的，在神凡事都能。
马太福音19:27	　彼得就对他说：看哪，我们已经撇下所有的跟从你，将来我们要得什么呢？
马太福音19:28	　耶稣说：我实在告诉你们，你们这跟从我的人，到复兴的时候，人子坐在他荣耀的宝座上，你们也要坐在十二个宝座上，审判以色列十二个支派。
马太福音19:29	　凡为我的名撇下房屋，或是弟兄、姊妹、父亲、母亲、儿女、田地的，必要得着百倍，并且承受永生。
马太福音19:30	　然而，有许多在前的，将要在后；在后的，将要在前。
马太福音20:1	　因为天国好像家主清早出去雇人进他的葡萄园做工，
马太福音20:2	　和工人讲定一天一钱银子，就打发他们进葡萄园去。
马太福音20:3	　约在巳初出去，看见市上还有闲站的人，
马太福音20:4	　就对他们说：你们也进葡萄园去，所当给的，我必给你们。他们也进去了。
马太福音20:5	　约在午正和申初又出去，也是这样行。
马太福音20:6	　约在酉初出去，看见还有人站在那里，就问他们说：你们为什么整天在这里闲站呢？
马太福音20:7	　他们说：因为没有人雇我们。他说：你们也进葡萄园去。
马太福音20:8	　到了晚上，园主对管事的说：叫工人都来，给他们工钱，从后来的起，到先来的为止。
马太福音20:9	　约在酉初雇的人来了，各人得了一钱银子。
马太福音20:10	　及至那先雇的来了，他们以为必要多得，谁知也是各得一钱。
马太福音20:11	　他们得了，就埋怨家主说：
马太福音20:12	　我们整天劳苦受热，那后来的只做了一小时，你竟叫他们和我们一样吗？
马太福音20:13	　家主回答其中的一人说：朋友，我不亏负你，你与我讲定的不是一钱银子吗？
马太福音20:14	　拿你的走吧！我给那后来的和给你一样，这是我愿意的。
马太福音20:15	　我的东西难道不可随我的意思用吗？因为我作好人，你就红了眼吗？
马太福音20:16	　这样，那在后的，将要在前；在前的，将要在后了。
马太福音20:17	　耶稣上耶路撒冷去的时候，在路上把十二个门徒带到一边，对他们说：
马太福音20:18	　看哪，我们上耶路撒冷去，人子要被交给祭司长和文士，他们要定他死罪；
马太福音20:19	　又交给外邦人，将他戏弄，鞭打，钉在十字架上；第三日他要复活。
马太福音20:20	　那时，西庇太儿子的母亲同她两个儿子上前来拜耶稣，求他一件事。
马太福音20:21	　耶稣说：你要什么呢？她说：愿你叫我这两个儿子在你国里，一个坐在你右边，一个坐在你左边。
马太福音20:22	　耶稣回答说：你们不知道所求的是什么；我将要喝的杯，你们能喝吗？他们说：我们能。
马太福音20:23	　耶稣说：我所喝的杯，你们必要喝；只是坐在我的左右，不是我可以赐的，乃是我父为谁预备的，就赐给谁。
马太福音20:24	　那十个门徒听见，就恼怒他们弟兄二人。
马太福音20:25	　耶稣叫了他们来，说：你们知道外邦人有君王为主治理他们，有大臣操权管束他们。
马太福音20:26	　只是在你们中间不可这样；你们中间谁愿为大，就必作你们的用人；
马太福音20:27	　谁愿为首，就必作你们的仆人。
马太福音20:28	　正如人子来，不是要受人的服事，乃是要服事人，并且要舍命，作多人的赎价。
马太福音20:29	　他们出耶利哥的时候，有极多的人跟随他。
马太福音20:30	　有两个瞎子坐在路旁，听说是耶稣经过，就喊着说：主啊，大卫的子孙，可怜我们吧！
马太福音20:31	　众人责备他们，不许他们作声；他们却越发喊着说：主啊，大卫的子孙，可怜我们吧！
马太福音20:32	　耶稣就站住，叫他们来，说：要我为你们做什么？
马太福音20:33	　他们说：主啊，要我们的眼睛能看见！
马太福音20:34	　耶稣就动了慈心，把他们的眼睛一摸，他们立刻看见，就跟从了耶稣。
马太福音21:1	　耶稣和门徒将近耶路撒冷，到了伯法其，在橄榄山那里。
马太福音21:2	　耶稣就打发两个门徒，对他们说：你们往对面村子里去，必看见一匹驴拴在那里，还有驴驹同在一处；你们解开，牵到我这里来。
马太福音21:3	　若有人对你们说什么，你们就说，主要用它。那人必立时让你们牵来。
马太福音21:4	　这事成就是要应验先知的话，说：
马太福音21:5	　要对锡安的居民说：看哪，你的王来到你这里，是温柔的，又骑着驴，就是骑着驴驹子。
马太福音21:6	　门徒就照耶稣所吩咐的去行，
马太福音21:7	　牵了驴和驴驹来，把自己的衣服搭在上面，耶稣就骑上。
马太福音21:8	　众人多半把衣服铺在路上；还有人砍下树枝来，铺在路上。
马太福音21:9	　前行后随的众人喊着说：和散那归于大卫的子孙！奉主名来的是应当称颂的！高高在上和散那！
马太福音21:10	　耶稣既进了耶路撒冷，合城都惊动了，说：这是谁？
马太福音21:11	　众人说：这是加利利，拿撒勒的先知耶稣。
马太福音21:12	　耶稣进了神的殿，赶出殿里一切做买卖的人，推倒兑换银钱之人的桌子和卖鸽子之人的凳子，
马太福音21:13	　对他们说：经上记着说：我的殿必称为祷告的殿，你们倒使它成为贼窝了。
马太福音21:14	　在殿里有瞎子、瘸子到耶稣跟前，他就治好了他们。
马太福音21:15	　祭司长和文士看见耶稣所行的奇事，又见小孩子在殿里喊着说：和散那归于大卫的子孙！就甚恼怒，
马太福音21:16	　对他说：这些人所说的，你听见了吗？耶稣说：是的。经上说：你从婴孩和吃奶的口中完全了赞美的话。你们没有念过吗？
马太福音21:17	　于是离开他们，出城到伯大尼去，在那里住宿。
马太福音21:18	　早晨回城的时候，他饿了，
马太福音21:19	　看见路旁有一棵无花果树，就走到跟前，在树上找不着什么，不过有叶子，就对树说：从今以后，你永不结果子。那无花果树就立刻枯干了。
马太福音21:20	　门徒看见了，便希奇说：无花果树怎么立刻枯干了呢？
马太福音21:21	　耶稣回答说：我实在告诉你们，你们若有信心，不疑惑，不但能行无花果树上所行的事，就是对这座山说：你挪开此地，投在海里！也必成就。
马太福音21:22	　你们祷告，无论求什么，只要信，就必得着。
马太福音21:23	　耶稣进了殿，正教导人的时候，祭司长和民间的长老来问他说：你仗着什么权柄做这些事？给你这权柄的是谁呢？
马太福音21:24	　耶稣回答说：我也要问你们一句话，你们若告诉我，我就告诉你们我仗着什么权柄做这些事。
马太福音21:25	　约翰的洗礼是从哪里来的？是从天上来的？是从人间来的呢？他们彼此商议说：我们若说从天上来，他必对我们说：这样，你们为什么不信他呢？
马太福音21:26	　若说从人间来，我们又怕百姓，因为他们都以约翰为先知。
马太福音21:27	　于是回答耶稣说：我们不知道。耶稣说：我也不告诉你们我仗着什么权柄做这些事。
马太福音21:28	　又说：一个人有两个儿子。他来对大儿子说：我儿，你今天到葡萄园里去做工。
马太福音21:29	　他回答说：我不去。以后自己懊悔，就去了。
马太福音21:30	　又来对小儿子也是这样说。他回答说：父啊，我去。他却不去。
马太福音21:31	　你们想，这两个儿子是哪一个遵行父命呢？他们说：大儿子。耶稣说：我实在告诉你们，税吏和娼妓倒比你们先进神的国。
马太福音21:32	　因为约翰遵着义路到你们这里来，你们却不信他；税吏和娼妓倒信他。你们看见了，后来还是不懊悔去信他。
马太福音21:33	　你们再听一个比喻：有个家主栽了一个葡萄园，周围圈上篱笆，里面挖了一个压酒池，盖了一座楼，租给园户，就往外国去了。
马太福音21:34	　收果子的时候近了，就打发仆人到园户那里去收果子。
马太福音21:35	　园户拿住仆人，打了一个，杀了一个，用石头打死一个。
马太福音21:36	　主人又打发别的仆人去，比先前更多；园户还是照样待他们。
马太福音21:37	　后来打发他的儿子到他们那里去，意思说：他们必尊敬我的儿子。
马太福音21:38	　不料，园户看见他儿子，就彼此说：这是承受产业的。来吧，我们杀他，占他的产业！
马太福音21:39	　他们就拿住他，推出葡萄园外杀了。
马太福音21:40	　园主来的时候要怎样处治这些园户呢？
马太福音21:41	　他们说：要下毒手除灭那些恶人，将葡萄园另租给那按着时候交果子的园户。
马太福音21:42	　耶稣说：经上写着：匠人所弃的石头已作了房角的头块石头。这是主所做的，在我们眼中看为希奇。这经你们没有念过吗？
马太福音21:43	　所以我告诉你们，神的国必从你们夺去，赐给那能结果子的百姓。
马太福音21:44	　谁掉在这石头上，必要跌碎；这石头掉在谁的身上，就要把谁砸得稀烂。
马太福音21:45	　祭司长和法利赛人听见他的比喻，就看出他是指着他们说的。
马太福音21:46	　他们想要捉拿他，只是怕众人，因为众人以他为先知。
马太福音22:1	　耶稣又用比喻对他们说：
马太福音22:2	　天国好比一个王为他儿子摆设娶亲的筵席，
马太福音22:3	　就打发仆人去，请那些被召的人来赴席，他们却不肯来。
马太福音22:4	　王又打发别的仆人，说：你们告诉那被召的人，我的筵席已经预备好了，牛和肥畜已经宰了，各样都齐备，请你们来赴席。
马太福音22:5	　那些人不理就走了；一个到自己田里去，一个做买卖去；
马太福音22:6	　其余的拿住仆人，凌辱他们，把他们杀了。
马太福音22:7	　王就大怒，发兵除灭那些凶手，烧毁他们的城。
马太福音22:8	　于是对仆人说：喜筵已经齐备，只是所召的人不配。
马太福音22:9	　所以你们要往岔路口上去，凡遇见的，都召来赴席。
马太福音22:10	　那些仆人就出去到大路上，凡遇见的，不论善恶，都召聚了来，筵席上就坐满了客。
马太福音22:11	　王进来观看宾客，见那里有一个没有穿礼服的，
马太福音22:12	　就对他说：朋友，你到这里来怎么不穿礼服呢？那人无言可答。
马太福音22:13	　于是王对使唤的人说：捆起他的手脚来，把他丢在外边的黑暗里；在那里必要哀哭切齿了。
马太福音22:14	　因为被召的人多，选上的人少。
马太福音22:15	　当时，法利赛人出去商议，怎样就着耶稣的话陷害他，
马太福音22:16	　就打发他们的门徒同希律党的人去见耶稣，说：夫子，我们知道你是诚实人，并且诚诚实实传神的道，什么人你都不徇情面，因为你不看人的外貌。
马太福音22:17	　请告诉我们，你的意见如何？纳税给凯撒可以不可以？
马太福音22:18	　耶稣看出他们的恶意，就说：假冒为善的人哪，为什么试探我？
马太福音22:19	　拿一个上税的钱给我看！他们就拿一个银钱来给他。
马太福音22:20	　耶稣说：这像和这号是谁的？
马太福音22:21	　他们说：是凯撒的。耶稣说：这样，凯撒的物当归给凯撒，神的物当归给神。
马太福音22:22	　他们听见就希奇，离开他走了。
马太福音22:23	　撒都该人常说没有复活的事。那天，他们来问耶稣说：
马太福音22:24	　夫子，摩西说：人若死了，没有孩子，他兄弟当娶他的妻，为哥哥生子立后。
马太福音22:25	　从前，在我们这里有弟兄七人，第一个娶了妻，死了，没有孩子，撇下妻子给兄弟。
马太福音22:26	　第二、第三，直到第七个，都是如此。
马太福音22:27	　末后，妇人也死了。
马太福音22:28	　这样，当复活的时候，她是七个人中哪一个的妻子呢？因为他们都娶过她。
马太福音22:29	　耶稣回答说：你们错了；因为不明白圣经，也不晓得神的大能。
马太福音22:30	　当复活的时候，人也不娶也不嫁，乃像天上的使者一样。
马太福音22:31	　论到死人复活，神在经上向你们所说的，你们没有念过吗？
马太福音22:32	　他说：我是亚伯拉罕的神，以撒的神，雅各的神。神不是死人的神，乃是活人的神。
马太福音22:33	　众人听见这话，就希奇他的教训。
马太福音22:34	　法利赛人听见耶稣堵住了撒都该人的口，他们就聚集。
马太福音22:35	　内中有一个人是律法师，要试探耶稣，就问他说：
马太福音22:36	　夫子，律法上的诫命，哪一条是最大的呢？
马太福音22:37	　耶稣对他说：你要尽心、尽性、尽意爱主你的神。
马太福音22:38	　这是诫命中的第一，且是最大的。
马太福音22:39	　其次也相仿，就是要爱人如己。
马太福音22:40	　这两条诫命是律法和先知一切道理的总纲。
马太福音22:41	　法利赛人聚集的时候，耶稣问他们说：
马太福音22:42	　论到基督，你们的意见如何？他是谁的子孙呢？他们回答说：是大卫的子孙。
马太福音22:43	　耶稣说：这样，大卫被圣灵感动，怎么还称他为主，说：
马太福音22:44	　主对我主说：你坐在我的右边，等我把你仇敌放在你的脚下。
马太福音22:45	　大卫既称他为主，他怎么又是大卫的子孙呢？
马太福音22:46	　他们没有一个人能回答一言。从那日以后，也没有人敢再问他什么。
马太福音23:1	　那时，耶稣对众人和门徒讲论，
马太福音23:2	　说：文士和法利赛人坐在摩西的位上，
马太福音23:3	　凡他们所吩咐你们的，你们都要谨守遵行。但不要效法他们的行为；因为他们能说，不能行。
马太福音23:4	　他们把难担的重担捆起来，搁在人的肩上，但自己一个指头也不肯动。
马太福音23:5	　他们一切所做的事都是要叫人看见，所以将佩戴的经文做宽了，衣裳的繸子做长了，
马太福音23:6	　喜爱筵席上的首座，会堂里的高位，
马太福音23:7	　又喜爱人在街市上问他安，称呼他拉比。
马太福音23:8	　但你们不要受拉比的称呼；因为只有一位是你们的夫子，你们都是弟兄。
马太福音23:9	　也不要称呼地上的人为父；因为只有一位是你们的父，就是在天上的父。
马太福音23:10	　也不要受师尊的称呼；因为只有一位是你们的师尊，就是基督。
马太福音23:11	　你们中间谁为大，谁就要作你们的用人。
马太福音23:12	　凡自高的，必降为卑；自卑的，必升为高。
