摩西书1:1	这些是摩西被提到一座非常高的山上时，神对摩西说的话，
摩西书6:38	他们到高处去，来听他说话，对看守帐篷的人说：你们留在这里看守帐篷，我们要到那边去看先见；因为他说预言，而且这地方出了怪事；有个野人来到我们这里。
摩西书6:39	事情是这样的，他们听了他之后，没有人对他动手；因为恐惧临到所有听他说话的人身上；因为他与神同行。
摩西书6:40	有个名叫玛西雅的人到他这里来，对他说：坦白告诉我们，你是谁？你从哪里来？
摩西书6:41	他对他们说：我是从该南地出来的，那是我祖先的土地，是正义之地，直到今日。我父亲完全用神的方式教导我。
摩西书6:42	事情是这样的，我从该南地，沿着东边的海岸旅行时，我看到一个异象；看，我看见了诸天，而且主对我说话，给我诫命；所以，为了这缘故，为了遵守诫命，我把这些话说出来。
摩西书6:43	以诺继续他的讲道，说：那对我说话的主，就是天上的神，祂是我的神，也是你们的神，你们是我的弟兄，你们为什么自己商议，而否认天上的神呢？
摩西书6:44	天是祂造的；地是祂的脚凳；而地的根基是祂的。看啊，祂立了地的根基，一大群人由祂带到地面上来。
摩西书6:45	死亡临到我们的祖先，但是我们认得他们，而且无法否认，我们甚至认识所有祖先中的第一人，即亚当。
摩西书6:46	我们已按照神的手指所赐给的方式，在我们当中写下了一本纪念册；那是用我们自己的语文赐给的。
摩西书6:47	以诺说出神的话后，人民就发抖，无法在他面前站立。
摩西书6:48	他对他们说：由于亚当坠落，才有我们；而他的坠落带来了死亡；我们成了悲惨和灾祸的领受者。
摩西书6:49	看啊，撒但来到人类儿女当中，引诱他们崇拜他；于是人就变得俗欲、肉欲、魔鬼似的，并从神面前被隔离。
摩西书6:50	但是神已告知我们的祖先，所有的人都必须悔改。
摩西书6:51	祂用自己的声音呼唤我们的祖先亚当，说：我是神；我造了这世界，和在肉身之前的人。
摩西书6:52	祂还对他说：如果你转向我，听从我的声音，并相信，且悔改你所有的违诫，奉我那充满恩典与真理的独生子耶稣基督的名——那是天下唯一将赐给的名，使人类儿女可借以得到救恩——在水中受洗，你就会获得圣灵的恩赐，奉祂的名祈求一切，无论你祈求什么，都必给你。
摩西书6:53	我们的祖先亚当对主说：人为什么必须悔改而在水中受洗呢？主对亚当说：看啊，我已经赦免你在伊甸园里的违诫。
摩西书6:54	因此人民中传出了这话说：神子已经赎了原罪，所以父母的罪不能报应在儿女头上，因为他们从世界奠基以来就是无罪的。
摩西书6:55	主对亚当说：因为你的子女是在罪中怀的，所以他们开始成长时，罪也怀在他们心中，他们要尝苦的，这样他们才会知道珍视好的。
摩西书6:56	这是要让他们能分辨善恶；所以他们是自己的主宰，而我已给你另外的律法和诫命。
摩西书6:57	所以要教导你的儿女：各地所有的人都必须悔改，否则他们绝不能继承神的国，因为没有不洁的东西能住在那里，或住在祂面前；因为，在亚当的语言中，神圣之人是祂的名，而祂独生子的名叫作人子，即耶稣基督，正义的法官，祂要在全盛时期来临。
摩西书6:58	所以我给你一条诫命，要毫不保留地教你的儿女这些事情，说：
摩西书6:59	由于违诫而有坠落，而坠落带来死亡，因为你们是由水、血和我造的灵降生到世界上，成为来自尘土的活着的灵魂，正如这样，你们也必须从水、灵，并且用血，即我独生子的血来洁净，而重生到天国里；这样好使你们从所有的罪中圣化，而在今生享有永生的话语，并在来生享有永生，即不朽的荣耀；
摩西书6:60	你们要借着水遵守诫命，借着灵称义，借着血而圣化；
摩西书6:61	所以这是给你们要住在你们里面的；天上的见证；保惠师；不朽荣耀的和平事物；所有事物的真理；使所有事物有生气的，使所有事物活着的；知道所有事物，并按照智慧、慈爱、真理、公道、审判而拥有一切能力的。
摩西书6:62	现在，看啊，我告诉你：这就是借着我独生子的血给全人类的救恩计划，祂要在全盛时期来临。
摩西书6:63	看啊，所有事物都有他们的样式，所有事物无论是属世或属灵的，都是创造来为我作见证的；在天上的、在地上的、在地里的、在地下的，无论在上面或在下面的事物：所有的事物都为我作见证。
摩西书6:64	事情是这样的，主和我们的祖先亚当说话时，亚当呼求主，他被主的灵提了去，被带进水中，放在水下，然后从水中被带出来。
摩西书6:65	他就这样受了洗，而神的灵降在他身上，他就这样从灵而生，使他的内在复苏。
摩西书6:66	他听到天上有个声音说：你已经接受了火和圣灵的洗礼。这是父与子的见证，从今直到永远；
摩西书6:67	你是按照那没有开始之日没有终止之年的那位的体制，从全永恒到全永恒。
摩西书6:68	看啊，你在我里面合一，是神的儿子；这样所有的人都可以成为我的儿子。阿们。
摩西书7:1	事情是这样的，以诺继续他的讲道，说：看啊，我们的祖先亚当教导了这些事，许多人相信而成为神的儿子，许多人不相信而在他们的罪恶中灭亡，他们在折磨中，怀着恐惧注视着，等着神愤怒如火般的义愤倾倒在他们身上。
摩西书7:2	从那时起以诺开始预言，对人民说：我旅行途中，站在玛户亚这个地方呼求主时，天上有声音说：你转过来，上西缅山去。
摩西书7:3	事情是这样的，我就转过来上山去；我站在山上时，看见天开了，我被笼罩在荣耀中；
摩西书7:4	我看见主；祂站在我面前，祂与我说话，就像人彼此面对面说话那样；祂对我说：看，我要将世界许多世代的情形显给你看。
摩西书7:5	事情是这样的，我看到休目山谷中，看，一大群人住在帐篷里，他们是休目人。
摩西书7:6	主又对我说：看；我向北看，看到了迦南人，他们住在帐篷里。
摩西书7:7	主对我说：预言吧；我就预言说：看啊，人数众多的迦南人要出去列阵与休目人作战，杀戮他们，他们将完全被消灭；迦南人将在那土地上分裂，那土地将贫瘠、不结果子，除了迦南人之外，没有其他民族会住在那里；
摩西书7:8	看啊，主要以酷热诅咒那土地，那土地的贫瘠将永远继续下去；有一种黑色临到迦南所有的儿女身上，使他们在所有民族中受轻视。
摩西书7:9	事情是这样的，主对我说：看；我就看，看到了沙仑地、以诺地、欧目诺地、黑尼地、闪地、罕诺地、哈拿尼哈地，和那里所有的居民；
摩西书7:10	主对我说：去这人民那里，对他们说——悔改，免得我出来用诅咒打击他们，使他们死亡。
摩西书7:11	他给我一条诫命，我要奉父的名、和那充满恩典与真理的子的名、和那为父与子作见证的圣灵的名施洗。
摩西书7:12	事情是这样的，以诺继续呼唤迦南人以外的所有的人悔改；
摩西书7:13	以诺的信心如此大，所以他领导了神的人民，而他们的敌人来攻击他们；他说主的话时，大地颤抖，诸山都按照他的命令逃跑；河川改道；并且听见旷野里传来狮子的吼叫；万国都非常害怕，以诺的话如此有力，神给他的言语的力量如此大。
摩西书7:14	从海底露出一块陆地，神之人民的敌人的恐惧是如此大，所以他们逃跑，站在远处，登上那从海底露出来的陆地。
摩西书7:15	那土地上的巨人也站在远处；有一种诅咒临到所有跟神作对的人身上；
摩西书7:16	从那时起，他们当中有了战争和流血；但是主来与祂的人民同住，他们住在正义中。
摩西书7:17	对主的惧怕临到了万国，主的荣耀是如此大，那荣耀在祂人民身上。主祝福了那土地，他们在山上、在高地上都蒙得祝福，并且兴盛。
摩西书7:18	主称祂的人民为锡安，因为他们一心一意，且住在正义中；他们当中没有穷人。
摩西书7:19	以诺继续在正义中向神的人民传道。事情是这样的，他在有生之年建了一座城，叫作神圣之城，即锡安。
摩西书7:20	事情是这样的，以诺与主交谈，他对主说：锡安确实将永远住在安全中。但是主对以诺说：我已祝福了锡安，但我已诅咒了其余的人民。
摩西书7:21	事情是这样的，主将地上所有的居民显给以诺看；他看了，看，一段时间以后，锡安被提到天上去。主对以诺说：看我永远的居所。
摩西书7:22	以诺也看到其余的人民，他们是亚当的子孙；他们是亚当所有后裔的混合，除了该隐的后裔以外，该隐的后裔是黑色的，在他们当中没有地位。
摩西书7:23	锡安被提到天上去以后，以诺看，看，地上所有的国家都在他面前；
摩西书7:24	一代又一代过去了；以诺在高处并被举起来，在父的怀里，也在人子的怀里；看啊，撒但的力量在整个地面上。
摩西书7:25	他看到天使们从天上降下来；他听到一个很大的声音说：祸哉，地上的居民有祸了。
摩西书7:26	他看到撒但；他手上有条大锁链，它以黑暗遮蔽了整个地面；他仰面大笑，他的使者们也高兴。
摩西书7:27	以诺看到天使们从天上降下来，为父与子作见证，圣灵降在很多人身上，他们被天上的力量提到锡安里去。
摩西书7:28	事情是这样的，天上的神看着其余的人民，祂哭了；以诺为这件事作见证说：诸天怎么哭了，他们流泪像雨降在山上？
摩西书7:29	以诺对主说：您怎么能哭，看，您是神圣的，而且是从全永恒到全永恒的？
摩西书7:30	如果人有可能数得出地球的微粒，是的，以百万计像这样的地球，那还不是您的创造物的数量的开始；您的幕幔仍然伸展着；然而您仍在那里，您的怀抱就在那里；并且您是公正的；永远慈爱且仁慈；
摩西书7:31	您已从您一切创造物中，从全永恒到全永恒，将锡安接到您的怀抱里，您宝座所在的地方，除了和平、公道和真理，没有别的；慈爱走在您面前，而且没有止境；您怎么能哭呢？
摩西书7:32	主对以诺说：看你这些弟兄；他们是我亲手做的手工，我创造他们的那天就给了他们知识；在伊甸园里，我已给世人选择权；
摩西书7:33	我已告诉过你的弟兄，也已给他们诫命，他们应当彼此相爱，他们应当选择我，他们的父；但是看啊，他们没有感情，他们恨自己的血亲；
摩西书7:34	我的义愤之火已向他们燃起；我要在火热的不悦中降洪水给他们，因为我的烈怒已对他们燃起。
摩西书7:35	看啊，我是神；神圣之人是我的名；忠告之人是我的名，无限与永恒也是我的名。
摩西书7:36	所以，我可以伸手握住我造的一切创造物；我的眼睛也可以看穿他们，我的手所做的一切手工当中，没有像在你的弟兄当中那样大的邪恶。
摩西书7:37	但是看啊，他们的罪将归在他们祖先的头上；撒但将是他们的祖先，悲惨将是他们的恶运；整个诸天将为他们，即我的手所做的一切手工而哭泣；所以，看着这些人将要受苦，诸天能不哭泣吗？
摩西书7:38	但是看啊，你的眼睛看到的这些都将在洪水中灭亡；并且，看啊，我会把他们关起来；我已为他们准备了一个监狱。
摩西书7:39	那被我所拣选者在我面前求情。所以祂为他们的罪受苦；只要他们愿意在我所拣选者回到我这里的那天悔改，他们的痛苦将到那天为止。
摩西书7:40	所以，诸天将为此而哭泣，是的，还有我的手所做的一切手工。
摩西书7:41	事情是这样的，主对以诺说话，把人类儿女的一切作为都告诉以诺；所以，以诺知道并看到他们的邪恶和悲惨，他哭着伸出他的臂膀，他的心膨胀宽阔如永恒；他的心肠挂念；全永恒都震动。
摩西书7:42	以诺也看到挪亚和他的家庭；挪亚所有的儿子的后代，都将以属世的救恩得救。
摩西书7:43	因此以诺看到挪亚造方舟，主喜悦那方舟，将它握在自己手中；但洪水临到其余邪恶的人身上，吞没了他们。
摩西书7:44	以诺看到这情形，他的灵魂痛苦，他为他的弟兄哭泣，并对诸天说：我拒绝被安慰；但是主对以诺说：要满怀喜乐，要高兴；看。
摩西书7:45	事情是这样的，以诺就看；他看到挪亚以后地上所有的家族；他呼求主说：主的日子什么时候会来到？正义者的血什么时候会流出，好让所有哀恸的被圣化而得到永生？
摩西书7:46	主说：将在全盛时期，在邪恶与报复的日子。
摩西书7:47	看啊，以诺看到人子在肉身中来临的日子；他的灵魂高兴，说：正义者被高举，羔羊从世界奠基起就要被杀害；我靠信心在父的怀里，看啊，锡安与我同在。
摩西书7:48	事情是这样的，以诺看着大地；他听到大地的腹内发出一个声音说：祸哉，我，世人之母有祸了；因我儿女的邪恶，我痛苦、我疲倦。我何时才能安息，并洗净出自我的污秽？我的创造主何时会圣化我，好让我安息，而正义能在我脸上住一段时间？
摩西书7:49	以诺听到大地哀恸，他哭了，呼求主说：主啊，您难道不怜悯大地吗？您难道不祝福挪亚的儿女吗？
摩西书7:50	事情是这样的，以诺继续呼求主说：我求您，主啊，奉您独生子耶稣基督的名，祈求您怜悯挪亚及其后裔，使大地永远不再被洪水淹没。
摩西书7:51	主无法拒绝，于是就与以诺立约，以誓约向以诺立誓，祂会止住洪水，祂会呼唤挪亚的儿女；
摩西书7:52	祂发出一道不可改变的命令：只要大地存在，万国当中必总是可以找到他儿女的遗裔；
摩西书7:53	主说：弥赛亚经由谁的后裔降生谁就有福了；祂说——我是弥赛亚，锡安之王，像永恒般广阔的天上的磐石；凡是从门进来借着我攀登上去的，永不跌倒；所以，我说的那些人有福了，因为他们必唱着永恒快乐之歌出来。
摩西书7:54	事情是这样的，以诺呼求主说：人子在肉身中降临时，大地会安息吗？我祈求您将这些事显给我看。
摩西书7:55	主对以诺说：看，他就看，看到人子被按照世人的样式，高举在十字架上；
摩西书7:56	他听到一个很大的声音，然后诸天被遮蔽，神所有的创造物都哀恸，大地呻吟，岩石崩裂，圣徒们起来，在人子的右边接受冠冕，接受荣耀的冠冕；
摩西书7:57	而很多在监狱中的灵都出来，站在神的右边，其余的则留在黑暗的锁链里，直到那大日子的审判。
摩西书7:58	以诺又哭了，呼求主说：大地何时才会安息呢？
摩西书7:59	以诺看到人子升到父那里；他呼喊主说：您不再到地上来了吗？由于您是神，我认识您，您向我立过誓，并命令我要奉您独生子的名求问；您造了我，将您宝座的权力给了我，不是凭我自己，而是靠着您的恩典；所以我问您，您是否不再到地上来了？
摩西书7:60	主对以诺说：像我活着一样，我必在末世来临，在邪恶与报复的日子，来实现与你立下的有关挪亚儿女的誓约；
摩西书7:61	那日子必来临，大地必安息，但在那日之前，诸天会变暗，黑暗之幔要覆盖大地；诸天震动，大地也一样；人类儿女中必有极大的苦难，但是我将保全我的人民；
摩西书7:62	我将从天上降下正义，我将从地下发出真理，为我的独生子作见证；祂从死里复活，是的，还有全人类的复活；我将使正义与真理像洪水般横扫大地，从大地四方聚集我的选民，到我将准备好的地方，即一座圣城，使我的人民能束好他们的腰，盼望我来临的时刻；那里将是我的会幕，要称为锡安，新耶路撒冷。
摩西书7:63	主对以诺说：那时你与你全城的人要在那里与他们会合，我们要将他们接到我们怀里，他们必看见我们；我们要抱着他们的颈项，他们要抱着我们的颈项，我们将彼此亲吻；
摩西书7:64	那里将成为我的住处，那将是锡安，将从我造的一切创造物中出来；大地将安息，为期一千年。
摩西书7:65	事情是这样的，以诺看到人子在末世来临的日子，在正义中住在地上，为期一千年；
摩西书7:66	但是在那日之前，他看到恶人中极大的苦难；他也看到海，波涛汹涌，人心惶惶，怀着恐惧等着全能的神的审判，那将临到恶人身上。
摩西书7:67	主将一切事显给以诺看，甚至到世界的末了；他看到义人的日子，他们救赎的时刻，他获得完全的喜乐；
摩西书7:68	以诺的时代，锡安所有的日子共三百六十五年。
摩西书7:69	以诺和他所有的人民都与神同行，祂住在锡安中；事情是这样的，锡安不在了，因为神将它接上祂自己的怀里；从那时起传出这话说，锡安消失了。
摩西书8:1	以诺共活了四百三十岁。
摩西书8:2	事情是这样的，以诺的儿子玛土撒拉没有被取走，好使主与以诺立的圣约得以应验；因为主的确与以诺立约，挪亚必出自他的后裔。
摩西书8:3	事情是这样的，玛土撒拉预言说，地上所有的国度必从他的腰身而生（经由挪亚），而他归荣耀给自己。
摩西书8:4	那土地发生了大饥荒，主用严厉的咒诅诅咒大地，大地许多居民都死了。
摩西书8:5	事情是这样的，玛土撒拉活到一百八十七岁，生了拉麦；
摩西书8:6	玛土撒拉生拉麦之后，又活了七百八十二年，并且生养儿女；
摩西书8:7	玛土撒拉共活了九百六十九岁就死了。
摩西书8:8	拉麦活到一百八十二岁，生了一个儿子，
摩西书8:9	给他起名叫挪亚，说，这个儿子必为我们的工作和手中的劳苦安慰我们；这是因为主诅咒了地。
摩西书8:10	拉麦生挪亚之后，又活了五百九十五年，并且生养儿女；
摩西书8:11	拉麦共活了七百七十七岁就死了。
摩西书8:12	挪亚四百五十岁的时候生雅弗，四十二年后他与雅弗的母亲生闪，他五百岁时生含。
摩西书8:13	挪亚和他儿子们都听从主，而且留意，他们被称为神的儿子们。
摩西书8:14	当这些人在地面上多起来且又生了女儿，人的儿子们看到那些女子貌美，就随意挑选，娶来为妻。
摩西书8:15	主对挪亚说：你儿子们的女儿们出卖了自己；看啊，我的怒气已向人的儿子们燃起，因为他们不听从我的声音。
摩西书8:16	事情是这样的，挪亚就预言，并教导属神的事，就像太初时一样。
摩西书8:17	主对挪亚说：我的灵不会一直对世人努力，他必知道一切有肉身的都必死；然而人的寿数可到一百二十岁；人若不悔改，我就要降洪水在他们身上。
摩西书8:18	那时代，地上有巨人，他们寻找挪亚，要取挪亚的性命；但是主和挪亚同在，主的力量在他身上。
摩西书8:19	主依照祂自己的体制按立挪亚，命令他出去向人类儿女宣讲祂的福音，就像给以诺的那样。
摩西书8:20	事情是这样的，挪亚呼唤人类儿女，他们应当悔改，但是他们不听从他的话；
摩西书8:21	还有，他们听了他之后，来到他面前说：看啊，我们是神的儿子；我们不是娶了人的女儿们吗？我们不是在吃喝、嫁娶吗？我们的妻子为我们生孩子，他们都是强而有力的人，都像上古伟大有名的人。他们不听从挪亚的话。
摩西书8:22	神看到人的邪恶已在地上变大了；每个人都在自己心中思想的想象中自高，不断地想到邪恶。
摩西书8:23	事情是这样的，挪亚继续向人民传道，说：听着，留意我的话；
摩西书8:24	要相信，悔改你们的罪，并像我们的祖先那样，奉神子耶稣基督的名受洗，你们就必获得圣灵，而一切事都能向你们显明；如果你们不这么做，洪水就会临到你们身上；然而他们不听从。
摩西书8:25	挪亚懊悔主造人在地上，他心里痛苦，他心中忧伤。
摩西书8:26	主说：我要将我所创造的人从地面上毁灭，包括人和走兽，并爬行动物，以及空中的飞鸟，因为挪亚懊悔我创造了他们，而我造了他们；他已呼求我；因为他们谋取他的性命。
摩西书8:27	于是挪亚在主眼中蒙恩；因为挪亚是个义人，在他的世代是个完全人；他与神同行，他的三个儿子闪、含、雅弗也如此。
摩西书8:28	大地在神面前腐败，并且充满了暴力。
摩西书8:29	神看着大地，而且，看啊，它腐败了，凡有肉身的在地上的行为都腐败了。
摩西书8:30	神对挪亚说：凡有肉身的，其尽头已经来到我面前，因为地上充满了暴力，看啊，我要把一切有肉身的从地上毁灭。
亚伯拉罕书1:1	在我祖先的住所，迦勒底人的土地上，我，亚伯拉罕明白我必须另觅住所；
亚伯拉罕书1:2	而且，由于发现我可以得到更大的幸福、平安与安息，我就寻求祖先们的祝福，和我应被按立来施行同样祝福的权利；因我一向是正义的追随者，也渴望作个拥有丰富知识的人，作个更伟大的正义的追随者，拥有更丰富的知识，作多国之父，和平之君，并渴望得到教导，遵守神的诫命，我就成了合法的继承人，是个大祭司，持有属于祖先们的权利。
亚伯拉罕书1:3	这权利是由祖先们授予我的；这权利是从时间的开始起，是的，即从太初起，或大地奠基以前，由祖先们传下来，直到现在的；此即长子，或第一个人的权利，他就是亚当，或第一个父亲，经由祖先们传给我。
亚伯拉罕书1:4	我按照神对祖先们有关子孙的任命，寻求我对圣职的任命。
亚伯拉罕书1:5	我的祖先们背离了他们的正义，背离了主他们的神给他们的神圣诫命，而崇拜异教的神，完全拒绝听我的声音；
亚伯拉罕书1:6	因为他们的心放在作恶上，完全转向厄克拿的神、立拿的神、玛玛克拉的神、口艾西的神和埃及王法老的神；
亚伯拉罕书1:7	所以他们把心转向异教徒的牺牲上，将他们的子女献给这些哑巴偶像，不听从我的声音，却竭力要借厄克拿的祭司的手取我的性命。厄克拿的祭司也是法老的祭司。
亚伯拉罕书1:8	而这时候，埃及王法老的祭司的习俗是，在迦勒底土地所建的祭坛上，献上男人、女人和孩子，作为给这些异国诸神的祭品。
亚伯拉罕书1:9	事情是这样的，祭司按照埃及人的样式向法老的神献祭，也向夏瑞儿的神献祭。这时夏瑞儿的神就是太阳。
亚伯拉罕书1:10	法老的祭司甚至在欧立协平原前头，称为波提乏山的山边所立的祭坛上，献上了一个小孩作感谢祭。
亚伯拉罕书1:11	而这祭司曾一次在这祭坛上献了三个童女，她们是含的嫡系，一个王室的后裔，欧尼塔的女儿。这些童女因她们的美德而被献祭；她们不愿俯伏敬拜那木头或石头做的神，所以她们就在这祭坛上被杀害，而这是按照埃及人的样式做的。
亚伯拉罕书1:12	事情是这样的，祭司们用暴力待我，以便像在这祭坛上杀害那些童女一样杀害我；为了让你们对这祭坛有所了解，我要请你们参考本纪录开始的图示。
亚伯拉罕书1:13	那是按照迦勒底人的床架的式样造的，它立在厄克拿、立拿、玛玛克拉、口艾西等的神面前，也立在像埃及王法老的神那样的神面前。
亚伯拉罕书1:14	为了让你们了解这些神，我已在开始的图形里将他们的形状画给你们，而迦勒底人称那图形的样式为拉立诺，意思是象形文字。
亚伯拉罕书1:15	他们举起手来抓我，好把我献上并取我性命的时候，看啊，我提高声音呼求主我的神，主垂听而听见了，祂以全能者的异象充满我，祂面前的天使站在我旁边，立刻解开我的束缚；
亚伯拉罕书1:16	祂的声音对我说：亚伯拉罕，亚伯拉罕，看啊，我的名字是耶和华，我已听到你的呼求，下来解救你，要带你离开你父亲的家，离开你所有的亲戚，到一个你不知道的陌生土地；
亚伯拉罕书1:17	这是因为他们的心背离了我，而去崇拜厄克拿的神、立拿的神、玛玛克拉的神、口艾西的神，和埃及王法老的神；所以我下来降罚他们，毁灭那举起手来对付你，我儿亚伯拉罕，要取你性命的人。
亚伯拉罕书1:18	看啊，我要亲手引导你，我要带领你，将我的名字，即你父亲的圣职放在你身上，我的力量必保护你。
亚伯拉罕书1:19	从前对挪亚怎样，将来对你也必怎样；但我的名字必因你的事工而在地上永为人知，因为我是你的神。
亚伯拉罕书1:20	看啊，波提乏山位于迦勒底的吾珥地。主毁掉了厄克拿的祭坛和那土地其他诸神的祭坛，完全毁灭它们，并将那祭司击毙；在迦勒底，有极大的悲伤，在法老的王宫里也一样；法老的意思是有王室血统的王。
亚伯拉罕书1:21	而这埃及王是出自含的腰身的后裔，生来有迦南人的血统。
亚伯拉罕书1:22	从这个家系生出所有的埃及人，迦南人的血统就这样在这土地上保留下来。
亚伯拉罕书1:23	埃及地是由一位女子首先发现的，她是含的女儿，也是埃及她斯的女儿，埃及她斯在迦勒底文中的意思是埃及，埃及的意思是被禁止；
亚伯拉罕书1:24	这女子发现那土地时，那土地还在水面下，她后来才把儿子们定居在那里；就这样，从含生出了在地上保留了诅咒的种族。
亚伯拉罕书1:25	而埃及的第一个政权是由含的女儿埃及她斯的长子，法老，建立的，那是按照含的政权的样式，是族长制的。
亚伯拉罕书1:26	法老是个义人，一生明智而公正地建设其王国，审判其人民，诚心寻求仿效最初世代的祖先们在第一个族长统治的时代的体制，即亚当统治时代和其祖先挪亚时代建立的体制；挪亚曾以地上之祝福和智慧之祝福来祝福他，但是在有关圣职方面却诅咒他。
亚伯拉罕书1:27	而因为法老属于那不能拥有圣职权利的家系，各法老还是乐于宣称那权利是从挪亚经含而来，所以我父亲被他们的偶像崇拜骗走；
亚伯拉罕书1:28	但是今后我竭力叙述从我自己上溯到创造之初的历代记事，因为那些纪录已经传到我手里，我一直拥有到现在。
亚伯拉罕书1:29	如今，在厄克拿的祭司被击毙后，那对我说的那些有关迦勒底土地的事应验了，就是那土地上要有饥荒。
亚伯拉罕书1:30	于是，饥荒遍及迦勒底全地，我父亲因饥荒而受尽折磨，他悔改了当初决定对付我、取我性命的恶行。
亚伯拉罕书1:31	但是主我的神将祖先们，即族长们有关圣职权利的纪录，保存在我手中；所以曾向祖先们显示有关创造之初、有关行星和众星的知识，我一直保存至今，我将竭力在这纪录上写一些这方面的事，为了我后代子孙的益处。
亚伯拉罕书2:1	这时，主神使饥荒在吾珥地变得更严重，我兄弟哈兰因此死去；但是我父亲他拉仍住在迦勒底的吾珥地。
亚伯拉罕书2:2	事情是这样的，我亚伯拉罕娶撒莱为妻，我的兄弟拿鹤则娶哈兰的女儿密迦为妻。
亚伯拉罕书2:3	主对我说：亚伯拉罕，你要从你的国家出来，离开你的亲戚，离开你父亲的家，到我要指示你的土地去。
亚伯拉罕书2:4	所以我离开了迦勒底的吾珥地，进了迦南地；我带着我兄弟的儿子罗得、他的妻子，和我的妻子撒莱；还有我父亲也跟着我，到我们命名为哈兰的地方去。
亚伯拉罕书2:5	饥荒缓和了；我父亲就留在哈兰住下来，因为哈兰有很多羊群；我父亲又转回去崇拜偶像，所以他继续留在哈兰。
亚伯拉罕书2:6	但是我亚伯拉罕和我兄弟的儿子罗得向主祈祷，主就向我显现，并对我说：起来，带着罗得；我打算带你离开哈兰，并立你作施助者，在一个陌生的土地承受我的名；当他们听从我的声音时，我要把那土地给你以后的子孙作永久的产业。
亚伯拉罕书2:7	我是主你的神；我住在天上；地是我的脚凳；我伸手在海面上，海就服从我的声音；我使风和火当我的车驾；我对山岳说——退去吧——看啊，山岳就突然在一瞬间被旋风带走。
亚伯拉罕书2:8	我的名字是耶和华，我从开始就知道结局；所以我的手必护佑你。
亚伯拉罕书2:9	我必使你成为大国。我必无限量地祝福你，使你的名在万国中为大；你必成为你之后的子孙的祝福，在他们手中要将这事工和圣职传给万国；
亚伯拉罕书2:10	我要因你的名而祝福他们；凡是接受这福音的，都要以你的名来称呼，都要被算作你的子孙，都将起来赞颂你，他们的父亲。
亚伯拉罕书2:11	祝福你的，我必祝福他们；诅咒你的，我必诅咒他们；因你（即因你的圣职）、因你的后裔（即你的圣职），地上所有的家庭都要蒙福，即福音的祝福，那是救恩的祝福，即永生的祝福，因为我给你一个应许，这权利必继续在你，和在你以后的子孙的身上（那就是说，真正的后裔，或肉身的后裔）。
亚伯拉罕书2:12	主结束对我说话，并离开我之后，我在心里说：您的仆人热切地寻求您，如今找到您了；
亚伯拉罕书2:13	您确实派天使从厄克拿的神那里解救了我，我要好好听您的声音，所以，让您的仆人起来并平安地离开。
亚伯拉罕书2:14	所以我亚伯拉罕，就照主对我说的离开了，而罗得跟我在一起；我亚伯拉罕离开哈兰时是六十二岁。
亚伯拉罕书2:15	我带着我在迦勒底的吾珥时娶的妻子撒莱和我兄弟的儿子罗得，和我们所聚集的一切财产，和我们在哈兰所获得的人，来到通往迦南地的路上，我们一路上住在帐篷里；
亚伯拉罕书2:16	所以，我们离开哈兰经过耶森来到迦南地时，永恒是我们的遮盖、我们的磐石和我们的救恩。
亚伯拉罕书2:17	我亚伯拉罕在耶森地盖了一座祭坛，向主献祭，祈求主使饥荒离开我父亲的家，使他们不至灭亡。
亚伯拉罕书2:18	然后我们经过耶森，经由那地方到了示剑的地方；示剑位于摩利平原，我们已经来到迦南人的土地边界上，我就在摩利平原献上牺牲，虔诚地呼求主，因为我们已经来到这崇拜偶像的国家的土地。
亚伯拉罕书2:19	主向我显现，以答复我的祈祷，并对我说：我要把这土地给你的子孙。
亚伯拉罕书2:20	我，亚伯拉罕从我为主盖的祭坛那里起来，离开那里，到伯特利东边的一座山上，在那里搭起我的帐篷，伯特利在西边，艾在东边；我在那里为主盖了另一座祭坛，再呼求主的名。
亚伯拉罕书2:21	我，亚伯拉罕继续往南走；饥荒在那土地上持续着；我亚伯拉罕决定下埃及去，寄居在那里，因为饥荒变得非常严重。
亚伯拉罕书2:22	事情是这样的，我快要进埃及的时候，主对我说：看啊，你的妻子撒莱是个容貌俊美的妇人；
亚伯拉罕书2:23	所以事情将是这样，埃及人看见她时会说：她是他的妻子；他们将杀你，而留她存活；所以你一定要这么做：
亚伯拉罕书2:24	让她对埃及人说，她是你的妹子，这样你的命就可以存活。
亚伯拉罕书2:25	事情是这样的，我亚伯拉罕将主对我说的一切都告诉我妻子撒莱——所以，我求你对他们说，你是我的妹子，使我因你得平安，我的命也因你存活。
亚伯拉罕书3:1	我亚伯拉罕拥有主我的神在迦勒底的吾珥给我的乌陵和土明。
亚伯拉罕书3:2	我看到很大的众星，其中一颗最靠近神的宝座；附近有很多大的星球。
亚伯拉罕书3:3	主对我说：这些都是管理的星球；大的一颗叫作口拉卜，因为它靠近我，我是主你的神：我设置这颗来管理一切与你所站的星球属于同一体系的星球。
亚伯拉罕书3:4	主借乌陵和土明对我说，口拉卜就其运转的时间和季节而言，是按照主的方式；按照主计算的方式，运转一圈，对主而言是一天，就指定给你所站的星球上的时间而言是一千年。这是主的时间的算法，按照口拉卜的算法。
